compare_mapping_actions_handlers.go	حفظ الربط والانتقال للملف التالي.
compare_file_handlers.go	تسمية وأرشفة الملفات.
compare_results_ops_handlers.go	تشغيل المقارنة.
compare_results_display_handlers.go	عرض نتائج المقارنة بالفلاتر.
compare_intelligence_handlers.go	لوحة ذكاء السوق.
compare_benchmark_offers_handlers.go	نافذة الموردين وراء رقم في المقارنة.
vendor_variant_handlers.go	قائمة منتجات المورد مرقمة.
vendor_variant_new.go	إضافة منتج جديد للمورد.
vendor_variant_edit.go	تعديل منتج المورد.
vendor_catalog_handlers.go	البحث في الكتالوج العام.
vendor_stock_search.go	بحث المورد في منتجاته.
vendor_inventory_handlers.go	صفحة المخزون.
vendor_warehouse_list_handlers.go	مستودعات المورد.
vendor_warehouse_ops_handlers.go	تعديل المخزون من المستودع.
vendor_warehouse_clear_handlers.go	مسح مخزون مستودع.
vendor_order_handlers.go	طلبات المورد وتغيير حالتها.
vendor_purchase_request_handlers.go	طلبات الشراء الواردة.
vendor_quota_handlers.go	لوحة حصص الفروع.
vendor_review_handlers.go	تقييمات المورد.
vendor_finance_handlers.go	مالية المورد بفلاتر التاريخ.
vendor_offer_list_handlers.go	قائمة العروض الخاصة.
vendor_offer_detail_handlers.go	إنشاء وتعديل عرض.
vendor_offer_form.go	التحقق من نموذج العرض.
vendor_offer_locations_handlers.go	مناطق تغطية العرض.
vendor_ads_handlers.go	إعلانات المورد.
vendor_sponsorship_handlers.go	طلبات الرعاية والباقات.
vendor_content_handlers.go	سياسات المورد: الإرجاع والدفع والشحن.
vendor_branch_handlers.go	فروع المورد.
vendor_team_list_handlers.go	فريق المورد والأدوار.
vendor_team_crud_handlers.go	إضافة موظف للمورد.
vendor_user_org_handlers.go	بحث المورد عن صيدلية لربطها.
vendor_activities_handlers.go	سجل نشاط الموظفين.
vendor_job_handlers.go	وظائف المورد.
vendor_institutional_handlers.go	الصيدليات داخل تغطية المورد.
vendor_delivery_handlers.go	لوحة توزيع الشحنات.
vendor_delivery_assign_handlers.go	تعيين شحنة لمندوب.
vendor_delivery_route_handlers.go	مسار المندوب.
vendor_ingest_upload_handlers.go	رفع ملف كتالوج المورد.
vendor_ingest_review_handlers.go	تصحيح ربط الأعمدة.
vendor_ingest_staged_handlers.go	جدول مراجعة الصفوف.
vendor_ingest_bulk_handlers.go	إجراءات جماعية على الصفوف.
vendor_ingest_sample_handlers.go	نموذج Excel لكتالوج المورد.
vendor_ingest_ai_state.go	متى يظهر زر الذكاء الاصطناعي في الاستيراد.
admin_handlers.go	لوحة الإدارة الرئيسية بأرقام من كاش.
admin_dashboard_cache.go	حساب أرقام لوحة الإدارة.
admin_routes_catalog.go	مسارات إدارة الكتالوج والمخزون.
admin_routes_commerce.go	مسارات إدارة الطلبات.
admin_routes_identity.go	مسارات إدارة المستخدمين.
admin_routes_org.go	مسارات إدارة المنشآت.
admin_routes_platform.go	مسارات إدارة المنصة.
admin_routes_pagecontrol.go	مسارات التحكم في صفحات النظام.
admin_pagecontrol_handlers.go	شاشة تفعيل وتعطيل صفحات النظام.
admin_approvals_list_handlers.go	قائمة الموافقات.
admin_approvals_action_handlers.go	اعتماد أو رفض منشأة مع السبب.
admin_approvals_job_seeker_handlers.go	اعتماد الباحثين عن عمل.
admin_askfor_handlers.go	تحويل لسجل المستندات المطلوبة.
admin_registration_detail.go	تفاصيل تسجيل منشأة.
admin_org_list_handlers.go	إدارة المنشآت.
admin_org_detail_handlers.go	نظرة شاملة على منشأة.
admin_org_branch_handlers.go	تفاصيل فرع.
admin_org_changes_handlers.go	طلبات تغيير بيانات المنشآت.
admin_org_import_handlers.go	مركز الاستيراد نيابة عن منشأة.
admin_org_import_saving_handlers.go	استيراد منتجات التوفير نيابة عن منشأة.
admin_org_import_saving_items_handlers.go	تعديل صفوف منتجات التوفير.
admin_org_import_saving_steps_handlers.go	خطوات ربط الأعمدة.
admin_org_import_temp_warehouse_handlers.go	رفع المستودعات المؤقتة نيابة عن منشأة.
admin_org_import_vendor_ingest_handlers.go	استيراد كتالوج مورد نيابة عنه.
admin_org_import_vendor_ingest_stages.go	مراحل استيراد المورد من الإدارة.
admin_users_handlers.go	دليل المستخدمين.
admin_user_directory_handlers.go	إدارة المستخدمين الموحدة.
admin_users_actions.go	إيقاف وتفعيل المستخدمين.
admin_roles_handlers.go	أدوار المنصة.
admin_employee_activities_handlers.go	سجل نشاط الموظفين.
admin_deletion_requests_handlers.go	طلبات الحذف.
admin_products_handlers.go	الكتالوج الرئيسي.
admin_catalog_handlers.go	تفاصيل منتج الكتالوج.
admin_brands_handlers.go	الماركات والشركات المصنعة.
admin_reference_handlers.go	التصنيفات.
admin_import_handlers.go	استيراد الكتالوج الرئيسي.
admin_import_mapping_handlers.go	خطوة ربط الأعمدة.
admin_import_forms.go	روابط جلسة الاستيراد.
admin_import_sample.go	نموذج ملف الاستيراد.
admin_import_watermark.go	علامة مائية على الصور المستوردة.
admin_image_import_handlers.go	استيراد صور المنتجات.
admin_image_import_sessions.go	تحميل الصور وربطها في الخلفية.
admin_decision_memory_handlers.go	ذاكرة قرارات المطابقة.
admin_saving_products_handlers.go	منتجات التوفير لكل المستخدمين.
admin_saving_products_score.go	درجة تشابه منتج توفير.
admin_warehouse_handlers.go	مستودعات شبكة التوزيع.
admin_warehouse_admin_actions.go	إجراءات المستودعات مع الحفاظ على الفلاتر.
admin_temp_warehouse_handlers.go	المستودعات المؤقتة (ملفات المقارنة).
admin_temp_warehouse_upload_page.go	صفحة رفع المستودعات المؤقتة.
admin_temp_warehouse_upload.go	رفع 60 لـ 100 ملف دفعة واحدة.
admin_temp_warehouse_staging.go	معالجة الملفات في الخلفية.
admin_temp_warehouse_mapping.go	عناوين ومعاينة الملف.
admin_temp_warehouse_session.go	مراحل جلسة المستودع المؤقت.
admin_temp_warehouse_runs_handlers.go	تشغيلات المستودعات المؤقتة.
admin_temp_warehouse_runs_review_handlers.go	مراجعة التشغيل.
admin_temp_warehouse_bulk_handlers.go	أرشفة وحذف بالجملة.
admin_my_temp_warehouse_handlers.go	مستودعاتي المرفوعة للمشرف.
admin_team_temp_warehouse_handlers.go	مستودعات فريق المشرف.
admin_institutional_handlers.go	هيكل الأعمال المؤسسية.
admin_weekly_coverage_handlers.go	التغطية الأسبوعية لكل المنشآت.
admin_geography_handlers.go	المدن والإحداثيات.
admin_geography_gov_handlers.go	المحافظات.
admin_commerce_handlers.go	الطلبات عبر كل المنشآت.
admin_finance_handlers.go	المحافظ والأرصدة.
admin_finance_actions.go	تسجيل دفع فاتورة.
admin_finance_plans_handlers.go	دليل خطط الاشتراك.
admin_finance_refunds_handlers.go	الاسترداد.
admin_finance_withdrawals_handlers.go	اعتماد السحب.
admin_finance_statement_handler.go	كشف حساب منشأة للطباعة.
admin_billing_handlers.go	محرر الخطط والمشتركين.
admin_subscription_log.go	فلاتر سجل المشتركين.
admin_payment_methods_handlers.go	قنوات الدفع.
admin_promo_package_handlers.go	اعتماد الإعلانات والباقات.
admin_credit_accounts_handlers.go	المنشآت اللي عندها باقات.
admin_adv_products_handlers.go	رعايات المنتجات.
admin_adv_product_detail_handlers.go	تفاصيل رعاية منتج.
admin_reviews_handlers.go	التقييمات.
admin_ai_logs_handlers.go	سجلات استهلاك الذكاء الاصطناعي.
admin_chat_handlers.go	محادثات المساعد للتدقيق.
admin_developers_handlers.go	بوابة المطورين: كونسول SQL، الذكاء الاصطناعي، SEO وغيرها.
admin_developers_actions_handlers.go	اختبار الاتصال بالبوابة.
admin_developers_ai_handlers.go	ربط أدوار الذكاء الاصطناعي بالموديلات.
admin_developers_seo_handlers.go	حفظ إعدادات SEO.
admin_gateway_credentials.go	رسائل رفض بيانات البوابة.
admin_settings_handlers.go	إعدادات المنصة العامة.
admin_branding_handlers.go	بيانات التواصل وروابط السوشيال.
admin_translations_handlers.go	تعديل الترجمات.
admin_trash_handlers.go	سلة المحذوفات.
admin_audit_handlers.go	تحليلات الزوار وسجل التدقيق.
admin_monitoring_handlers.go	سجلات الأخطاء.
admin_documents_handlers.go	تحويل لسجل المستندات.
admin_job_handlers.go	الوظائف.
admin_job_application_handlers.go	المتقدمين.
admin_gallery_handlers.go	معرض المكونات للفحص البصري.
